Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity
18:40:00,Friday,Under 18,5-10yr,Public (12 seats),Dry,Daylight,Unknown,Moving Backward,Slight Injury
19:32:00,Wednesday,18-30,1-2yr,Long lorry,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
19:32:00,Wednesday,Unknown,5-10yr,,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
15:09:00,Monday,Unknown,2-5yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
20:30:00,Friday,Unknown,Below 1yr,Public (> 45 seats),Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
20:30:00,Friday,Under 18,5-10yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
16:25:00,Tuesday,18-30,5-10yr,Lorry (41?100Q),Dry,Daylight,Unknown,No distancing,Slight Injury
16:25:00,Tuesday,18-30,5-10yr,Automobile,Dry,Daylight,Unknown,Moving Backward,Slight Injury
16:25:00,Tuesday,18-30,2-5yr,Public (13?45 seats),Dry,Daylight,Unknown,Changing lane to the right,Slight Injury
16:25:00,Tuesday,31-50,Above 10yr,Automobile,Dry,Daylight,Unknown,No priority to pedestrian,Slight Injury
15:00:00,Friday,18-30,5-10yr,Public (> 45 seats),Dry,Daylight,Normal,Moving Backward,Serious Injury
8:38:00,Thursday,31-50,Above 10yr,Public (12 seats),Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
8:38:00,Thursday,31-50,2-5yr,Automobile,Dry,Daylight,Normal,Overtaking,Slight Injury
18:30:00,Wednesday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Overloading,Slight Injury
18:30:00,Wednesday,Unknown,Below 1yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
9:09:00,Monday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Raining,Improper parking,Slight Injury
9:09:00,Monday,Over 51,2-5yr,Public (12 seats),Dry,Daylight,Raining,Other,Slight Injury
9:09:00,Monday,18-30,Below 1yr,Automobile,Dry,Daylight,Raining,Changing lane to the left,Slight Injury
9:09:00,Monday,18-30,2-5yr,Automobile,Dry,Daylight,Raining,Changing lane to the right,Slight Injury
9:17:00,Tuesday,31-50,5-10yr,Automobile,Wet or damp,Daylight,Raining,No priority to pedestrian,Slight Injury
9:17:00,Tuesday,31-50,Above 10yr,Stationwagen,Wet or damp,Daylight,Raining,Overspeed,Slight Injury
15:00:00,Monday,Unknown,Above 10yr,Other,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
15:00:00,Monday,Unknown,5-10yr,Other,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
15:00:00,Monday,Unknown,1-2yr,Other,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
12:28:00,Sunday,31-50,5-10yr,Public (13?45 seats),Dry,Daylight,Normal,No distancing,Slight Injury
12:28:00,Sunday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
14:04:00,Thursday,18-30,1-2yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
14:04:00,Thursday,Under 18,5-10yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
14:04:00,Thursday,Under 18,Above 10yr,Automobile,Dry,Daylight,Normal,Other,Slight Injury
14:04:00,Thursday,18-30,Below 1yr,Stationwagen,Dry,Daylight,Normal,Driving carelessly,Slight Injury
14:25:00,Tuesday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Serious Injury
14:25:00,Tuesday,Over 51,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Serious Injury
18:20:00,Wednesday,Unknown,Below 1yr,Lorry (41?100Q),Dry,Daylight,Unknown,Changing lane to the left,Slight Injury
18:20:00,Wednesday,31-50,1-2yr,Public (> 45 seats),Dry,Daylight,Unknown,No priority to vehicle,Slight Injury
8:55:00,Thursday,18-30,Above 10yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
7:45:00,Thursday,Unknown,Above 10yr,Other,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
7:45:00,Thursday,18-30,Above 10yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
13:59:00,Tuesday,18-30,No Licence,Other,Dry,Daylight,Normal,Driving at high speed,Slight Injury
19:25:00,Wednesday,Unknown,1-2yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
19:25:00,Wednesday,31-50,1-2yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
19:25:00,Wednesday,31-50,Below 1yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
11:27:00,Thursday,Over 51,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
11:27:00,Thursday,Over 51,2-5yr,Special vehicle,Dry,Daylight,Normal,Other,Slight Injury
17:23:00,Tuesday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Other,Slight Injury
17:23:00,Tuesday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
7:55:00,Wednesday,18-30,2-5yr,Public (> 45 seats),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
18:48:00,Wednesday,31-50,Above 10yr,Automobile,Dry,Daylight,Cloudy,Overtaking,Slight Injury
12:20:00,Wednesday,31-50,5-10yr,Automobile,Dry,Daylight,Cloudy,No priority to pedestrian,Slight Injury
12:20:00,Wednesday,31-50,,Automobile,Dry,Daylight,Cloudy,No distancing,Slight Injury
12:20:00,Wednesday,31-50,5-10yr,Public (> 45 seats),Dry,Daylight,Cloudy,Changing lane to the right,Slight Injury
12:20:00,Wednesday,Unknown,Below 1yr,Lorry (11?40Q),Dry,Daylight,Cloudy,Driving carelessly,Slight Injury
8:40:00,Thursday,18-30,2-5yr,Pick up upto 10Q,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
8:40:00,Thursday,Unknown,2-5yr,Lorry (11?40Q),Dry,Daylight,Normal,Overtaking,Slight Injury
6:46:00,Tuesday,Over 51,2-5yr,Pick up upto 10Q,Wet or damp,Daylight,Raining,Other,Slight Injury
6:46:00,Tuesday,31-50,2-5yr,Special vehicle,Wet or damp,Daylight,Raining,Driving to the left,Slight Injury
17:55:00,Thursday,Under 18,5-10yr,Lorry (11?40Q),Dry,Daylight,Normal,Driving at high speed,Slight Injury
17:55:00,Thursday,18-30,5-10yr,,Dry,Daylight,Normal,Unknown,Slight Injury
6:27:00,Tuesday,31-50,Above 10yr,,Dry,Daylight,Normal,Changing lane to the right,Serious Injury
11:41:00,Tuesday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
14:30:00,Wednesday,31-50,5-10yr,Other,Dry,Daylight,Unknown,Other,Slight Injury
14:30:00,Wednesday,18-30,Above 10yr,Other,Dry,Daylight,Unknown,No priority to vehicle,Slight Injury
15:20:00,Friday,Unknown,,Automobile,Dry,Daylight,Unknown,Changing lane to the left,Slight Injury
15:20:00,Friday,Unknown,5-10yr,Other,Dry,Daylight,Unknown,No priority to pedestrian,Slight Injury
8:05:00,Monday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,Overtaking,Serious Injury
18:47:00,Friday,18-30,Below 1yr,Public (13?45 seats),Dry,Daylight,Normal,Driving carelessly,Slight Injury
18:47:00,Friday,Unknown,,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
22:15:00,Monday,18-30,5-10yr,,Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
22:15:00,Monday,18-30,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
11:30:00,Thursday,Under 18,Above 10yr,,Dry,Daylight,Normal,Driving carelessly,Slight Injury
11:30:00,Thursday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
11:26:00,Monday,18-30,Above 10yr,,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
11:26:00,Monday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
17:50:00,Friday,Unknown,Above 10yr,Taxi,Dry,Daylight,Normal,Overturning,Slight Injury
17:50:00,Friday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
18:40:00,Tuesday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Unknown,No distancing,Slight Injury
18:40:00,Tuesday,Unknown,2-5yr,Other,Dry,Daylight,Unknown,Driving carelessly,Slight Injury
5:50:00,Friday,Unknown,Below 1yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
5:50:00,Friday,18-30,Below 1yr,Stationwagen,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
19:21:00,Thursday,Under 18,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
19:21:00,Thursday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
14:50:00,Sunday,31-50,Below 1yr,Other,Dry,Daylight,Normal,Moving Backward,Slight Injury
22:05:00,Wednesday,Unknown,,Automobile,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
22:05:00,Wednesday,Under 18,5-10yr,,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
8:30:00,Tuesday,18-30,Below 1yr,Taxi,Dry,Daylight,Normal,No distancing,Slight Injury
8:30:00,Tuesday,Unknown,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
12:00:00,Tuesday,31-50,1-2yr,Other,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
12:00:00,Tuesday,31-50,Above 10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
10:35:00,Saturday,31-50,Above 10yr,Public (> 45 seats),Wet or damp,Daylight,Raining,Changing lane to the right,Slight Injury
23:01:00,Friday,18-30,Below 1yr,Stationwagen,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,Slight Injury
23:01:00,Friday,Unknown,2-5yr,Automobile,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,Slight Injury
6:58:00,Tuesday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
6:58:00,Tuesday,31-50,Above 10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
21:00:00,Monday,18-30,2-5yr,Public (13?45 seats),Dry,Daylight,Normal,Other,Slight Injury
21:00:00,Monday,Unknown,2-5yr,Other,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
18:02:00,Monday,18-30,1-2yr,Other,Dry,Daylight,Normal,Changing lane to the right,Serious Injury
11:25:00,Thursday,Unknown,5-10yr,Ridden horse,Dry,Daylight,Normal,No distancing,Serious Injury
11:25:00,Thursday,18-30,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Serious Injury
5:46:00,Friday,18-30,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Overturning,Serious Injury
5:46:00,Friday,18-30,,Pick up upto 10Q,Dry,Daylight,Normal,Driving at high speed,Serious Injury
0:34:00,Saturday,18-30,Below 1yr,Lorry (11?40Q),Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
0:34:00,Saturday,31-50,1-2yr,Automobile,Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
14:50:00,Sunday,Unknown,2-5yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
14:50:00,Sunday,18-30,1-2yr,Pick up upto 10Q,Dry,Daylight,Normal,Other,Slight Injury
13:32:00,Thursday,Unknown,5-10yr,Automobile,Dry,Daylight,Unknown,Other,Slight Injury
13:32:00,Thursday,31-50,Below 1yr,Other,Dry,Daylight,Unknown,Moving Backward,Slight Injury
13:32:00,Thursday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Unknown,No distancing,Slight Injury
16:00:00,Tuesday,Over 51,5-10yr,Public (13?45 seats),Dry,Daylight,Normal,Moving Backward,Slight Injury
16:00:00,Tuesday,Over 51,Below 1yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
16:00:00,Tuesday,Over 51,5-10yr,Stationwagen,Dry,Daylight,Normal,Driving carelessly,Slight Injury
20:53:00,Sunday,31-50,5-10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
20:53:00,Sunday,18-30,2-5yr,Pick up upto 10Q,Dry,Daylight,Normal,Other,Slight Injury
15:39:00,Thursday,Under 18,Above 10yr,Public (13?45 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
15:39:00,Thursday,Unknown,5-10yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
13:20:00,Monday,Unknown,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
13:20:00,Monday,Over 51,Above 10yr,Pick up upto 10Q,Dry,Daylight,Normal,No distancing,Slight Injury
12:16:00,Saturday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Unknown,No priority to vehicle,Slight Injury
12:16:00,Saturday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Unknown,Changing lane to the right,Slight Injury
12:16:00,Saturday,31-50,Below 1yr,Long lorry,Dry,Daylight,Unknown,No priority to pedestrian,Slight Injury
18:18:00,Saturday,18-30,5-10yr,,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
18:18:00,Saturday,31-50,Above 10yr,Other,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
8:30:00,Monday,Over 51,5-10yr,,Dry,Daylight,Normal,Turnover,Slight Injury
8:30:00,Monday,18-30,1-2yr,Public (13?45 seats),Dry,Daylight,Normal,Driving to the left,Slight Injury
12:35:00,Monday,Over 51,,Special vehicle,Dry,Daylight,Normal,Driving carelessly,Slight Injury
12:35:00,Monday,Under 18,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving to the left,Slight Injury
8:27:00,Thursday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
8:27:00,Thursday,31-50,1-2yr,Public (> 45 seats),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
21:30:00,Saturday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
21:30:00,Saturday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
16:00:00,Friday,31-50,,Automobile,Wet or damp,Daylight,Raining,Moving Backward,Slight Injury
16:00:00,Friday,31-50,2-5yr,Public (> 45 seats),Wet or damp,Daylight,Raining,Driving carelessly,Slight Injury
17:23:00,Wednesday,18-30,2-5yr,Lorry (11?40Q),Wet or damp,Daylight,Raining,Changing lane to the right,Slight Injury
17:23:00,Wednesday,31-50,Above 10yr,Pick up upto 10Q,Wet or damp,Daylight,Raining,Driving carelessly,Slight Injury
17:50:00,Friday,Unknown,1-2yr,Lorry (11?40Q),Wet or damp,Daylight,Normal,Driving carelessly,Slight Injury
17:50:00,Friday,31-50,1-2yr,Pick up upto 10Q,Wet or damp,Daylight,Normal,Driving carelessly,Slight Injury
19:35:00,Thursday,Under 18,No Licence,Special vehicle,Dry,Daylight,Normal,Changing lane to the right,Serious Injury
19:35:00,Thursday,Under 18,1-2yr,Lorry (11?40Q),Dry,Daylight,Normal,Changing lane to the right,Serious Injury
19:35:00,Thursday,Under 18,5-10yr,,Dry,Daylight,Normal,Driving carelessly,Serious Injury
19:35:00,Thursday,Under 18,Above 10yr,,Dry,Daylight,Normal,Overtaking,Serious Injury
19:35:00,Thursday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Serious Injury
19:35:00,Thursday,Unknown,5-10yr,Other,Dry,Daylight,Normal,No distancing,Serious Injury
13:38:00,Sunday,18-30,2-5yr,Other,Dry,Daylight,Normal,Other,Slight Injury
13:38:00,Sunday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
13:38:00,Sunday,Unknown,Below 1yr,Other,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
13:38:00,Sunday,Unknown,2-5yr,Automobile,Dry,Daylight,Normal,Overtaking,Slight Injury
17:14:00,Saturday,Unknown,2-5yr,Public (13?45 seats),Dry,Daylight,Normal,Other,Slight Injury
17:14:00,Saturday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving to the left,Slight Injury
17:14:00,Saturday,31-50,Above 10yr,,Dry,Daylight,Normal,Overtaking,Slight Injury
17:14:00,Saturday,Under 18,,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
18:57:00,Tuesday,18-30,2-5yr,,Dry,Daylight,Normal,Moving Backward,Slight Injury
18:57:00,Tuesday,18-30,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Other,Slight Injury
16:58:00,Thursday,Under 18,2-5yr,,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
16:58:00,Thursday,Unknown,,Lorry (41?100Q),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
16:58:00,Thursday,Over 51,1-2yr,Taxi,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
21:25:00,Sunday,31-50,2-5yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
21:25:00,Sunday,31-50,Above 10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
21:25:00,Sunday,31-50,Below 1yr,Other,Dry,Darkness - lights lit,Normal,Driving to the left,Slight Injury
21:25:00,Sunday,31-50,2-5yr,Stationwagen,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
21:25:00,Sunday,31-50,Below 1yr,Stationwagen,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
4:50:00,Thursday,18-30,5-10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Driving at high speed,Slight Injury
3:26:00,Thursday,Unknown,1-2yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Moving Backward,Serious Injury
3:26:00,Thursday,Over 51,Below 1yr,Other,Dry,Darkness - lights lit,Normal,No distancing,Serious Injury
15:25:00,Thursday,Over 51,,Automobile,Dry,Daylight,Normal,Other,Slight Injury
12:45:00,Sunday,18-30,Below 1yr,,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
12:45:00,Sunday,31-50,Below 1yr,Taxi,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
22:39:00,Monday,31-50,,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Other,Slight Injury
7:56:00,Thursday,31-50,2-5yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
7:56:00,Thursday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
20:08:00,Thursday,31-50,Above 10yr,Public (> 45 seats),Dry,Daylight,Normal,No distancing,Serious Injury
20:08:00,Thursday,18-30,5-10yr,Stationwagen,Dry,Daylight,Normal,Moving Backward,Serious Injury
20:08:00,Thursday,31-50,1-2yr,Automobile,Dry,Daylight,Normal,No distancing,Serious Injury
20:40:00,Thursday,18-30,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Moving Backward,Slight Injury
20:40:00,Thursday,18-30,Below 1yr,Other,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
20:40:00,Thursday,18-30,2-5yr,Public (13?45 seats),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
13:28:00,Saturday,Unknown,1-2yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
13:28:00,Saturday,31-50,5-10yr,Other,Dry,Daylight,Normal,Other,Slight Injury
0:44:00,Sunday,Under 18,2-5yr,Ridden horse,Dry,Darkness - lights lit,Normal,No distancing,Serious Injury
9:28:00,Friday,18-30,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
9:28:00,Friday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Moving Backward,Slight Injury
9:28:00,Friday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
9:28:00,Friday,18-30,5-10yr,Lorry (11?40Q),Dry,Daylight,Normal,No distancing,Slight Injury
19:41:00,Thursday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
20:26:00,Sunday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
20:26:00,Sunday,31-50,1-2yr,Lorry (11?40Q),Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
18:17:00,Friday,31-50,2-5yr,Motorcycle,Dry,Daylight,Normal,Driving carelessly,Slight Injury
7:55:00,Wednesday,Unknown,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
7:55:00,Wednesday,Under 18,,Stationwagen,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
15:40:00,Tuesday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
15:40:00,Tuesday,31-50,5-10yr,Other,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
19:00:00,Monday,31-50,Above 10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
19:00:00,Monday,18-30,2-5yr,Taxi,Dry,Daylight,Normal,No distancing,Slight Injury
12:04:00,Monday,Over 51,Above 10yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Serious Injury
12:04:00,Monday,Over 51,2-5yr,Long lorry,Dry,Daylight,Normal,Changing lane to the right,Serious Injury
12:04:00,Monday,31-50,5-10yr,Long lorry,Dry,Daylight,Normal,No priority to vehicle,Serious Injury
12:04:00,Monday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Serious Injury
12:04:00,Monday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Serious Injury
12:04:00,Monday,31-50,5-10yr,Lorry (11?40Q),Dry,Daylight,Normal,Moving Backward,Serious Injury
8:40:00,Wednesday,Unknown,Above 10yr,Automobile,Dry,Daylight,Normal,Turnover,Slight Injury
8:40:00,Wednesday,Under 18,Below 1yr,Taxi,Dry,Daylight,Normal,No distancing,Slight Injury
17:00:00,Friday,18-30,5-10yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
17:00:00,Friday,18-30,1-2yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
17:07:00,Saturday,Unknown,,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
17:07:00,Saturday,Unknown,Above 10yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
17:07:00,Saturday,Unknown,2-5yr,Automobile,Dry,Daylight,Normal,Driving at high speed,Slight Injury
12:30:00,Monday,Under 18,1-2yr,Public (> 45 seats),Dry,Daylight,Normal,Overtaking,Slight Injury
12:30:00,Monday,Unknown,1-2yr,Lorry (11?40Q),Dry,Daylight,Normal,Other,Slight Injury
16:34:00,Monday,Over 51,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Serious Injury
22:20:00,Monday,18-30,,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
10:10:00,Sunday,18-30,2-5yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
10:10:00,Sunday,31-50,1-2yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
10:10:00,Sunday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
7:50:00,Monday,Unknown,Below 1yr,Pick up upto 10Q,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
7:50:00,Monday,18-30,2-5yr,Motorcycle,Dry,Daylight,Normal,Other,Slight Injury
7:50:00,Monday,18-30,5-10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
6:52:00,Wednesday,31-50,Above 10yr,Pick up upto 10Q,Dry,Daylight,Normal,Moving Backward,Fatal injury
6:52:00,Wednesday,31-50,2-5yr,Motorcycle,Dry,Daylight,Normal,No distancing,Fatal injury
21:17:00,Saturday,Unknown,Above 10yr,Stationwagen,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
14:01:00,Monday,Under 18,1-2yr,Lorry (41?100Q),Wet or damp,Daylight,Raining,Changing lane to the left,Slight Injury
12:26:00,Monday,Over 51,5-10yr,Taxi,Wet or damp,Daylight,Raining,No priority to pedestrian,Slight Injury
12:26:00,Monday,31-50,2-5yr,Automobile,Wet or damp,Daylight,Raining,Changing lane to the left,Slight Injury
10:35:00,Tuesday,Over 51,2-5yr,Long lorry,Dry,Daylight,Normal,Driving carelessly,Slight Injury
10:35:00,Tuesday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
19:50:00,Monday,Over 51,2-5yr,Public (12 seats),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
19:50:00,Monday,Unknown,Above 10yr,Lorry (11?40Q),Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
10:30:00,Sunday,Over 51,Above 10yr,Pick up upto 10Q,Dry,Daylight,Normal,No distancing,Slight Injury
10:30:00,Sunday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
16:55:00,Thursday,Unknown,,Other,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
16:55:00,Thursday,Unknown,2-5yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
16:30:00,Monday,31-50,5-10yr,Long lorry,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
16:30:00,Monday,18-30,5-10yr,Lorry (11?40Q),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
16:30:00,Monday,18-30,Above 10yr,Long lorry,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
17:10:00,Thursday,31-50,5-10yr,Automobile,Wet or damp,Daylight,Raining,Driving carelessly,Slight Injury
17:10:00,Thursday,Unknown,Above 10yr,Taxi,Wet or damp,Daylight,Raining,Changing lane to the right,Slight Injury
21:12:00,Wednesday,31-50,Below 1yr,Taxi,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
21:12:00,Wednesday,Unknown,5-10yr,Long lorry,Dry,Daylight,Normal,Moving Backward,Slight Injury
8:39:00,Monday,31-50,1-2yr,Lorry (11?40Q),Dry,Daylight,Normal,Driving carelessly,Serious Injury
15:30:00,Tuesday,18-30,5-10yr,Lorry (11?40Q),Dry,Daylight,Cloudy,Driving to the left,Serious Injury
23:45:00,Tuesday,Under 18,5-10yr,Long lorry,Dry,Darkness - lights lit,Normal,Driving to the left,Slight Injury
23:45:00,Tuesday,18-30,2-5yr,Turbo,Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
23:45:00,Tuesday,18-30,5-10yr,Long lorry,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
23:45:00,Tuesday,18-30,5-10yr,Long lorry,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
14:35:00,Saturday,Unknown,Above 10yr,Public (13?45 seats),Dry,Daylight,Normal,Driving carelessly,Slight Injury
14:35:00,Saturday,31-50,Above 10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
14:35:00,Saturday,31-50,Below 1yr,Automobile,Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
14:35:00,Saturday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
